x	y	z	metro	Pitch	Roll
-0.57	-0.96	0.36	1.173072888	-27.51	-53.93
-0.72	-0.99	0.15	1.233288287	-35.64	-52.97
-0.81	-0.78	0.26	1.154166366	-43.61	-41.59
-0.82	-0.78	0.27	1.163486141	-43.78	-41.11
-0.82	-0.78	0.29	1.168289348	-43.41	-40.76
-0.82	-0.77	0.3	1.164173527	-43.54	-40.23
-0.81	-0.76	0.3	1.150521621	-43.52	-40.17
-0.8	-0.76	0.31	1.146167527	-42.98	-40.29
-0.81	-0.76	0.31	1.153169545	-43.32	-39.98
-0.79	-0.76	0.31	1.139210253	-42.62	-40.6
-0.82	-0.77	0.33	1.172262769	-42.93	-39.66
